JobTitle,isSaved,MinimumExperience,MaximumExperience,MinSalary,MaxSalary,CreationDate,Description,EmployeeType,IndustryType,Location,MinimumQualification,Promote,Specialization,JobStatus,VisitorCount,job_url,SkillsRequired,ScreeningQuestions,job_recruiter_recruiter_id
Trainee Developer,no,0,2,3.2,3.7,6/11/2025,"<h4 style=""color:red;"">About The Role</h4>
<p>We are looking for a passionate and driven Trainee Developer to join our growing tech team in Hyderabad. If you have a foundational understanding of React, Node.js, and Django, and are eager to learn and contribute to real-world projects, this is a great opportunity to launch your career in a supportive and flexible environment.</p>

<h4 style=""color:red;"">Role & Responsibilities</h4>
<ul>
  <li>Assist in developing and maintaining web applications using React, Node.js, and Django.</li>
  <li>Collaborate with senior developers and cross-functional teams to understand requirements and implement solutions.</li>
  <li>Participate in code reviews and follow best practices for writing clean and efficient code.</li>
  <li>Continuously learn and apply new technologies and frameworks as needed.</li>
  <li>Debug and troubleshoot issues in development and production environments.</li>
</ul>

<h4 style=""color:red;"">Key Skills & Tools</h4>
<ul>
  <li>Basic to intermediate knowledge of React.js, Angular, Node.js, and Django.</li>
  <li>Understanding of RESTful APIs, front-end/backend integration.</li>
  <li>Familiarity with version control systems like Git.</li>
  <li>Good problem-solving and communication skills.</li>
  <li>Ability to work both independently and within a team.</li>
</ul>

<h4 style=""color:red;"">Good To Have</h4>
<ul>
  <li>Internship or academic projects using the mentioned tech stack.</li>
  <li>Exposure to databases like MongoDB, PostgreSQL, or MySQL.</li>
  <li>Interest in full-stack development.</li>
</ul>",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://aeriestechnology.talentrecruit.com/Search/Jobs/?2349&utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"React, JavaScript, Django, MongoDB",,20536
Fresher Technical Developer,no,0,2,1.8,3.4,6/11/2025,"<h4 style=""color:red;"">Job Description</h4>
<p>We are looking for enthusiastic freshers who are eager to learn, grow, and contribute to real-world projects. During the internship, you will receive hands-on experience and training in Zoho tools and web technologies.</p>

<h4 style=""color:red;"">Responsibilities</h4>
<ul>
  <li>Learn and assist in Zoho Deluge scripting and application development</li>
  <li>Work with Zoho CRM, Zoho Creator, and other Zoho applications</li>
  <li>Get trained in Zoho low-code/no-code platforms</li>
  <li>Contribute to WordPress, HTML, CSS, and basic web development tasks</li>
  <li>Collaborate on live client projects, support project delivery, and join client meetings</li>
  <li>Work closely with mentors and senior developers to grow technical and professional skills</li>
</ul>

<h4 style=""color:red;"">Required Skills</h4>
<ul>
  <li>Basic knowledge of HTML, CSS, and JavaScript</li>
  <li>Familiarity with Node.js is a plus</li>
  <li>Willingness to learn Zoho ecosystem (training provided)</li>
  <li>Strong problem-solving mindset and eagerness to learn new technologies</li>
  <li>Good communication skills and ability to work in a team</li>
</ul>

<h4 style=""color:red;"">Educational Qualification</h4>
<ul>
  <li>Bachelor's Degree (or final year student) in Computer Science, Information Technology, Software Engineering, or any related field</li>
</ul>

<h4 style=""color:red;"">Who Can Apply</h4>
<ul>
  <li>You should apply if you:</li>
  <ul>
    <li>Are a fresher or recent graduate</li>
    <li>Can commit to a full-time in-office job in Hyderabad</li>
    <li>Are available to start on 1st July 2025</li>
    <li>Have a keen interest in web development and business automation tools</li>
    <li>Are ready to work on real client projects and gain valuable industry exposure</li>
    <li><strong>*Women wanting to start/restart their career can also apply*</strong></li>
  </ul>
</ul>

<h4 style=""color:red;"">Requirements</h4>
<p><strong>Skill(s) required:</strong> HTML, CSS, JavaScript & NodeJs</p>
<p><strong>Educational Qualification:</strong> Bachelor’s Degree in Computer Science, Information Technology, Software Engineering, or a related field.</p>

<h4 style=""color:red;"">Desired Skills and Experience</h4>
<p><strong>Skill(s) required:</strong> Java & JavaScript, HTML, CSS, Python, Nord JS</p>

<h4 style=""color:red;"">Educational Qualification</h4>
<p>Bachelor's Degree in Computer Science, Information Technology, Software Engineering, or a related field.</p>
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, JavaScript",,20537
SDET Intern,no,0,2,5,5.7,6/11/2025,"<h4 style=""color:red;"">About The Role</h4>
<p>We are looking for a passionate and detail-oriented QA Automation Intern to join our growing QA team. In this role, you will gain valuable experience in the Software Development Life Cycle (SDLC) by assisting with manual testing of our software applications. You will work closely with QA Engineers and Developers to ensure our products meet the highest quality standards.</p>

<h4 style=""color:red;"">Key Responsibilities</h4>
<ul>
  <li><strong>Testing:</strong> Assist in the development and execution of test plans and test cases for various projects.</li>
  <li><strong>Bug Tracking:</strong> Identify, report, and track defects and issues using our bug tracking system.</li>
  <li><strong>Documentation:</strong> Help maintain and update QA documentation, including test plans, test cases, and bug reports.</li>
  <li><strong>Collaboration:</strong> Work closely with developers, product managers, and other team members to understand product requirements and ensure testing coverage.</li>
  <li><strong>Automation:</strong> Assist in the development and maintenance of automated tests where applicable.</li>
  <li><strong>Feedback:</strong> Provide feedback and recommendations for improving product quality and user experience.</li>
  <li><strong>Learning:</strong> Stay updated on the latest QA trends, tools, and methodologies to continuously improve skills and knowledge.</li>
</ul>

<h4 style=""color:red;"">Qualifications</h4>
<ul>
  <li>A Bachelor's degree in any stream</li>
  <li>Proficient in English, with good written, oral communication and presentation skills</li>
  <li>Excellent problem-solving skills</li>
  <li>Ability to work in a fast-paced environment and manage multiple priorities</li>
  <li>Comfortable with technology and ability to learn new quickly</li>
  <li>Must have done academic projects in development</li>
  <li>Detail-oriented and able to work independently</li>
  <li>Positive attitude and willingness to learn</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://sensehr.sensehq.com/careers/jobs/154?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Manual Testing,,20538
Associate React Native Developer,no,0,2,2.5,3,6/11/2025,"<h4 style=""color:red;"">About The Role</h4>
<p>We are seeking an enthusiastic and talented Associate React Native Developer to join our team and work under the guidance of our Senior React Native Developer. This role offers an excellent opportunity to gain valuable experience and grow your skills in React Native development. As an Associate React Native Developer, you will be involved in developing high-quality mobile applications, collaborating with the senior developer and the development team.</p>

<h4 style=""color:red;"">Responsibilities</h4>
<ul>
  <li>Assist in the development and maintenance of React Native applications under the guidance of the Senior React Native Developer.</li>
  <li>Collaborate with the senior developer to understand project requirements, design specifications, and coding standards.</li>
  <li>Implement frontend designs using React Native and associated technologies.</li>
  <li>Participate in code reviews, providing feedback and making necessary improvements to ensure code quality and adherence to best practices.</li>
  <li>Integrate REST and SOAP APIs as directed by the senior developer, ensuring seamless communication between the application and backend systems.</li>
  <li>Experience in integrating third-party APIs/SDKs, including Salesforce SDK.</li>
  <li>Collaborate with the senior developer and the team to resolve technical issues and troubleshoot bugs or performance bottlenecks.</li>
  <li>Learn and adopt various architecture patterns in React Native as guided by the senior developer.</li>
  <li>Work on assigned tasks within project timelines and deliver high-quality code.</li>
  <li>Stay up-to-date with the latest industry trends and advancements in React Native development.</li>
</ul>

<h4 style=""color:red;"">Qualifications</h4>
<ul>
  <li>Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent practical experience).</li>
  <li>Solid understanding of JavaScript, HTML, and CSS.</li>
  <li>Familiarity with React Native and its ecosystem.</li>
  <li>Basic knowledge of frontend development principles and practices.</li>
  <li>Familiarity with version control systems, preferably Git.</li>
  <li>Strong problem-solving and analytical skills.</li>
  <li>Excellent communication and teamwork skills.</li>
  <li>Ability to learn quickly and work effectively in a fast-paced environment.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, React, JavaScript",,20539
Software Engineering Intern,no,0,2,2,4,6/11/2025,"<h4 style=""color:red;"">Skills & Requirements</h4>
<ul>
  <li>Basic Understanding of how cloud-based web applications work and interest in measuring, analyzing, and improving distributed systems</li>
  <li>Familiar with Automation development using any one of the scripting languages like Python</li>
  <li>Exposure to Terraform or Ansible will be a plus</li>
  <li>Basic understanding of Docker and Kubernetes</li>
  <li>Basic Understanding of Networking and Security Technology for cloud services</li>
  <li>Basic Understanding of Continuous Deployment tools such as Jenkins or Env0</li>
  <li>To understand key cybersecurity concepts and their impact on serverless resources</li>
  <li>Should have a working knowledge of emerging technologies relevant to cloud computing, e.g., Machine Learning (ML) and Artificial Intelligence (AI)</li>
</ul>

<h4 style=""color:red;"">Primary Responsibilities</h4>
<ul>
  <li>Design, develop and implement hybrid cloud environments</li>
  <li>Deploy and automate infrastructure & platform services in Public Clouds (AWS, GCP, and Azure) using Terraform and Ansible</li>
  <li>Design and manage Continuous deployment using Kubernetes and Jenkins</li>
  <li>To develop and implement AI solutions in Cloud</li>
  <li>Monitor environments for any impact using observability tools and take actions to remediate and/or mitigate issues</li>
  <li>Perform troubleshooting and root cause analysis for Service Incidents and document them</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://automationanywhere.wd5.myworkdayjobs.com/AutomationAnywhereJobs/job/Bengaluru-India/Software-Engineering-Intern_JR794?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Python,,20540
Graduate Trainee- India,no,0,2,3,4,6/11/2025,"<h4 style=""color:red;"">What role we're hiring for:</h4>
<p>We are a growing fintech organization looking to add Graduate Trainees based in Chennai, India!</p>

<h4 style=""color:red;"">What you'll be responsible for in this role:</h4>
<ul>
  <li>Participate in training sessions and workshops to develop job-specific skills</li>
  <li>Understand the software development life cycle and how to apply it in project work</li>
  <li>Complete as many IT certification, possible</li>
  <li>Proficient in several programming languages</li>
  <li>Experienced writing code</li>
  <li>Expert level in Microsoft Office Applications, including Project</li>
  <li>Excellent written and oral communication skills</li>
  <li>Familiar with a range of software and hardware</li>
  <li>Previous technical support role</li>
  <li>Assist in the testing and support of software solutions</li>
  <li>Debug and troubleshoot software and applications</li>
  <li>Develop and maintain documentation for future reference</li>
  <li>Assist in the maintenance and upgrades of existing software</li>
  <li>Learn and adapt to new technologies and programming languages relevant to the job</li>
  <li>Participate in code reviews to improve coding skills</li>
  <li>Work with senior engineers to understand and implement design specifications</li>
  <li>Comply with project plans and industry standards</li>
  <li>Assist in the execution of tasks and projects under supervision</li>
  <li>Collaborate with team members to achieve project goals</li>
  <li>Contribute to team meetings and provide fresh perspectives</li>
  <li>Analyzing the application logs and Database validation</li>
  <li>Resource should be keenly monitoring the email alerts emitted from Production and Lower environment of hosted clients</li>
  <li>Resource should be vigilant during Production deployment to monitor the alerts emitted during deployment window</li>
  <li>Identify the errors in the job execution to bring it to Support & Operations team attention to reprocess the file</li>
  <li>Developing detailed test cases based on the requirements</li>
  <li>Executing test cases and analyzing the results to identify defects</li>
  <li>Review and validate test results to ensure that they meet the entry and exit criteria</li>
  <li>Reporting defects and status to the stakeholders</li>
  <li>Ensuring that Product and applications adheres to quality standards and best practices</li>
  <li>Debug client reported issue and reproduced it in test environments</li>
  <li>Willing to work in shifts - APAC, UK, US hours</li>
  <li>Provide weekend support to Production systems (currently Support team is working on a rotational basis to provide client support)</li>
</ul>

<h4 style=""color:red;"">What experiences and skills are necessary to be successful in this role:</h4>
<ul>
  <li>Looking for Engineering graduates with 0-1 years of experience</li>
  <li>Preferably B.Tech or B.E Computer graduates (2024 or 2025 Batch)</li>
</ul>

<h4 style=""color:red;"">Knowledge & Skills</h4>
<ul>
  <li>Excellent personal management and organization skills.</li>
  <li>Excellent communication skills, both verbal and written.</li>
  <li>An analytical mindset and technical ability.</li>
  <li>Ambitious and driven to exceed expectations.</li>
  <li>Ability to communicate at all levels, build positive relationships with colleagues and clients and maintain excellent customer service skills.</li>
  <li>Credible and professional.</li>
  <li>Able to challenge appropriately and present solutions.</li>
  <li>High attention to detail.</li>
  <li>Self-starting and able to work on own initiative.</li>
</ul>
",Full Time,IT,Chennai,B.tech,No,CSE,Active,0,https://episodesix.com/company/careers?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Java,,20541
"Junior Software Engineer, Fullstack ",no,0,2,3.2,4.2,6/11/2025,"<h4 style=""color:red;"">About The Role</h4>
<p><strong>Job Description:</strong> We are looking for junior/associate software engineer who could join our cloud product engineering team to build, sustain the enterprise applications for our global customers. As part of this internship, you'll learn how to develop and test code efficiently while gaining real world experience working on applications that support our customers. With mentoring from Senior Developers, the intern will learn multiple systems and be able to use their skills in multiple projects and maintenance, and coordinate with the rest of the team working on different layers of the infrastructure.</p>

<h4 style=""color:red;"">Responsibilities</h4>
<ul>
  <li>Assist in designing, building, and maintaining efficient, reusable, and reliable code by writing clean, scalable code using Azure cloud services, C# .NET Core, ReactJS etc.</li>
  <li>Assist in testing and automate as required.</li>
  <li>Assist in system improvements including bug fixing.</li>
  <li>Make recommendations towards the development of new code or reuse of existing code, and improve/streamline processes and systems.</li>
  <li>Support projects through entire Software Development Lifecycle (SDLC) by participating in the requirements analysis and research gathering (R&D) process, and/or writing documentation such as technical specifications and other forms of documentation.</li>
  <li>Follow software development methodologies and best practices.</li>
</ul>

<h4 style=""color:red;"">Requirements</h4>
<ul>
  <li>Degree in Computer Science from an accredited university.</li>
  <li>Minimum 6 months to 3 years full-time work experience in React.js, NET core, and SQL.</li>
  <li>Ability to detail and write technical documentation in English for internal or external developer/technical audiences.</li>
  <li>Knowledge of VS Code or similar integrated development environment (IDE)</li>
  <li>Basic familiarity with GIT, Subversion, or similar version control systems.</li>
  <li>Basic understanding of Design Patterns and Object-Oriented Concepts.</li>
  <li>Basic understanding of the software development lifecycle (SDLC), including requirements analysis, development, production deployment and maintenance; Experience or understanding of working in an Agile environment.</li>
  <li>Be able to demonstrate the required skills and experience equivalent to 6 months, either through an internship, previous employment, or in a college project.</li>
  <li>Experience or familiarity with C# / Python, micro services, cloud development architectural patterns, MongoDB, PostGres, ReactJS is a definite PLUS.</li>
</ul>
",Full Time,IT,Chennai,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"React, JavaScript, SQL, .Net",,20542
Software Engineer - I,no,0,2,3,5,6/11/2025,"<h4 style=""color:red;"">Job Description</h4>
<p>We are seeking passionate and talented Software Engineer - I professionals to join our growing development team. This is an excellent opportunity for fresh graduates and early-career developers to build their expertise in modern web technologies within the JavaScript ecosystem.</p>

<h4 style=""color:red;"">Key Responsibilities</h4>
<ul>
  <li>Develop and maintain web applications using ReactJS for frontend development</li>
  <li>Build scalable backend services and APIs using Node.js</li>
  <li>Write clean, maintainable, and well-documented code following industry best practices</li>
  <li>Collaborate with cross-functional teams including designers, product managers, and senior developers</li>
  <li>Participate in code reviews and contribute to improving development processes</li>
  <li>Debug and troubleshoot applications to ensure optimal performance</li>
  <li>Stay updated with the latest trends and technologies in the JavaScript ecosystem</li>
  <li>Contribute to both frontend and backend components of web applications</li>
</ul>

<h4 style=""color:red;"">Required Skills and Qualifications</h4>

<h5>Technical Requirements</h5>
<ul>
  <li>Frontend: Proficiency in ReactJS, HTML5, CSS3, JavaScript (ES6+)</li>
  <li>Backend: Working knowledge of Node.js and Express.js or similar frameworks</li>
  <li>Understanding of RESTful API design and development</li>
  <li>Familiarity with version control systems (Git)</li>
  <li>Basic understanding of databases (SQL/NoSQL)</li>
  <li>Knowledge of responsive web design principles</li>
</ul>

<h5>Educational Background</h5>
<ul>
  <li>Bachelor's degree in Computer Science, Information Technology, or related field</li>
  <li>Candidates with Minimum 1 year of relevant experience</li>
</ul>

<h5>Preferred Qualifications</h5>
<ul>
  <li>Experience with modern development tools and workflows</li>
  <li>AI-Driven Development: Familiarity with AI-powered development tools such as: Cursor IDE, ChatGPT for coding assistance, Claude AI for development tasks, GitHub Copilot or similar AI coding assistants</li>
  <li>Understanding of modern JavaScript frameworks and libraries</li>
  <li>Experience with package managers (npm, yarn)</li>
  <li>Basic knowledge of cloud platforms (AWS, Azure, or GCP)</li>
  <li>Familiarity with containerization tools (Docker)</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, React, JavaScript",,20543
Java Developer Intern,no,0,2,1,1.2,6/11/2025,"<h4 style=""color:red;"">Role Description</h4>

<p>We are looking for enthusiastic interns to become part of our team. As a Java Developer Intern, you will collaborate with seasoned developers and engage in meaningful projects. This internship aims to offer you significant experience and guidance, enabling you to utilize your Java programming skills effectively. Should possess Outstanding abilities in communication and interpersonal relations. As an intern, you will gain experience in the following practical areas:</p>

<ul>
  <li>Coding and Development</li>
  <li>Debugging and Troubleshooting</li>
  <li>Testing and Documentation</li>
  <li>Collaboration.</li>
</ul>

<h4 style=""color:red;"">Qualifications</h4>
<ul>
  <li>A solid command of core Java accompanied by a fundamental comprehension of Java ecosystems.</li>
  <li>An understanding of Object-Oriented Programming (OOP) concepts.</li>
  <li>Acquaintance with web technologies including HTML, JavaScript, and CSS.</li>
  <li>A foundational knowledge of databases and SQL.</li>
  <li>Experience with Java frameworks such as Spring or Hibernate would be advantageous.</li>
  <li>Demonstrated problem-solving abilities and meticulous attention to detail.</li>
  <li>A readiness to learn and adapt within a dynamic environment.</li>
</ul>

<h4 style=""color:red;"">Job Responsibilities</h4>
<ul>
  <li>Work alongside senior developers to conceptualize, create, and evaluate Java-based applications.</li>
  <li>Produce clear, efficient, and thoroughly documented code following recognized coding standards and best practices.</li>
  <li>Participate in the entire software development lifecycle, encompassing requirements analysis, design, implementation, testing, and deployment.</li>
  <li>Assist in the identification and resolution of bugs, performance-related issues, and various technical challenges.</li>
  <li>Perform root cause analysis of problems and apply suitable solutions with supervision.</li>
  <li>Perform comprehensive testing and quality assurance to ensure a seamless user experience.</li>
  <li>Remain informed about the most recent advancements in Java technologies, frameworks, and tools by engaging in self-directed learning and research.</li>
  <li>Explore new methodologies and technologies to improve your skills and offer creative solutions to the team.</li>
  <li>Engage in code reviews to offer insights regarding the quality, clarity, and sustainability of the code.</li>
  <li>Work together with colleagues to generate ideas, exchange knowledge, and address technical challenges.</li>
  <li>Record modifications to the code, design choices, and technical specifications for future use.</li>
  <li>Assist in the creation and upkeep of project documentation, which encompasses user manuals and technical guides.</li>
  <li>Aid in the planning, estimation, and prioritization of project tasks</li>
  <li>Assist project managers and senior developers in the organization of project activities and the achievement of deadlines.</li>
</ul>

<h4 style=""color:red;"">Skills Required</h4>

<p>Basic understanding of object-oriented programming (OOP) concepts.<br>
Excellent problem-solving skills and attention to detail.</p>

<h4 style=""color:red;"">A. Core Java</h4>
<ul>
  <li>Object-Oriented Programming (OOP): Understanding concepts like inheritance, polymorphism, encapsulation, and abstraction.</li>
  <li>Java Basics: Data types, control statements (if, for, while, etc.), arrays, and strings.</li>
  <li>Collections Framework: Lists, Sets, Maps, and their implementations.</li>
  <li>Exception Handling: Try-catch blocks, custom exceptions.</li>
  <li>Java I/O: File handling, streams, serialization.</li>
</ul>

<h4 style=""color:red;"">B. Advanced Java</h4>
<ul>
  <li>Multithreading: Threads, synchronization, concurrency utilities.</li>
  <li>Java Database Connectivity (JDBC): Interfacing with databases.</li>
  <li>Java 8 Features: Lambda expressions, streams, functional interfaces.</li>
</ul>

<h4 style=""color:red;"">C. Frameworks and Libraries</h4>
<ul>
  <li>Spring/Spring Boot: Basic understanding of dependency injection, annotations, and creating REST APIs.</li>
  <li>Hibernate/JPA: ORM (Object Relational Mapping) for database interactions.</li>
</ul>

<h4 style=""color:red;"">D. Web Development</h4>
<ul>
  <li>HTML, CSS, JavaScript: Basics for creating front-end interfaces.</li>
  <li>Servlets & JSP: For building dynamic web applications.</li>
  <li>REST APIs: Consuming or creating APIs using Java.</li>
</ul>

<h4 style=""color:red;"">E. Tools</h4>
<ul>
  <li>IDE: Proficiency in Eclipse, IntelliJ IDEA, or NetBeans.</li>
  <li>Version Control: Basic knowledge of Git and GitHub.</li>
  <li>Build Tools: Maven or Gradle for dependency management.</li>
</ul>

<h4 style=""color:red;"">F. Database Management</h4>
<ul>
  <li>Basics of SQL: CRUD operations, joins, and indexing.</li>
  <li>Experience with relational databases (e.g., MySQL, PostgreSQL).</li>
</ul>

<h4 style=""color:red;"">Benefits</h4>
<ul>
  <li>Hands-on experience in the Java Field.</li>
  <li>Mentorship from experienced professionals.</li>
  <li>Possibility of securing a full-time role after successfully finishing the internship.</li>
  <li>You will get the opportunity to sharpen your java programming skills</li>
</ul>
",Full Time,IT,Chennai,B.tech,No,CSE,Active,0,https://femtosoft.in/careers/java-developer-intern.html?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, JavaScript, SQL",,20544
Java Developer,no,0,2,2.5,3.2,6/11/2025,"
<h4 style=""color:red;"">Must have experience</h4>
<ul>
  <li>Spring boot, Mongo DB, ORM Framework (Hibernate, JPA)</li>
  <li>Unit Testing - Junit.</li>
  <li>Experience and good understanding of Architectures / frameworks</li>
  <li>Should be able to express and discuss functional requirements and technical queries with team members.</li>
  <li>Should be able to groom yourself and the team members to the world of technologies on regularly.</li>
</ul>

<h4 style=""color:red;"">Good to have</h4>
<ul>
  <li>Unit Testing - Unit Testing</li>
  <li>Presentation Skill</li>
  <li>Ability to lead small teams developers.</li>
</ul>

<ol>
  <li>Good hands-on experience of Java, OOPs, Advanced Java, Web Services (Rest), MVC framework Spring and ORM framework Hibernate, Spring boot, JSP/Servlets and Javascript.</li>
  <li>Should have worked with Mongo DB, Maven, Gradle, JIRA</li>
  <li>Good working experience with Mongo DB and MySQL.</li>
  <li>Good experience working in Git version control.</li>
  <li>Should have excellent knowledge of application design and development.</li>
  <li>Understand Java development defects/performance issues and resolve them systematically.</li>
  <li>Should be able to work independently with minimum guidance.</li>
  <li>Good communication skills for client interactions.</li>
  <li>Some overlap would be required for client calls.</li>
  <li>Most importantly the ability to get out of your comfort zone and thinking out of the box.</li>
</ol>
",Full Time,IT,Chennai,B.tech,No,CSE,Active,0,https://softence.com/careers/java-developer/?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Hibernate, MongoDB, MySQL",,20545
