JobTitle,isSaved,MinimumExperience,MaximumExperience,MinSalary,MaxSalary,CreationDate,Description,EmployeeType,IndustryType,Location,MinimumQualification,Promote,Specialization,JobStatus,VisitorCount,job_url,SkillsRequired,ScreeningQuestions,job_recruiter_recruiter_id
Frontend Engineer,no,0,2,5,7,8/26/2025,"<h4 style=""color: red;"">About Role</h4> 
<p> 
We are seeking a highly skilled and motivated <strong>Frontend Engineer</strong> with 1-2 years of experience to join our dynamic team. 
The ideal candidate will be proficient in <strong>HTML, CSS, JavaScript, and React.js</strong>, with a passion for creating exceptional user experiences. 
You will be responsible for designing, developing, and implementing complex frontend solutions while building responsive, high-performance web applications. 
</p> 

<h4 style=""color: red;"">Responsibilities</h4> 
<ul> 
<li>Design, develop, and implement complex frontend solutions using HTML, CSS, JavaScript, and React.js.</li> 
<li>Build responsive, high-performance web applications that provide exceptional user experiences across all devices and browsers.</li> 
<li>Collaborate closely with cross-functional teams, including Product, Design, and Backend Engineering teams, to deliver new features and enhance existing functionality.</li> 
<li>Ensure code quality, maintainability, and scalability by writing clean, reusable, and efficient code.</li> 
<li>Implement modern frontend architecture patterns and best practices for component-based development.</li> 
<li>Optimize web applications for maximum speed, scalability, and search engine optimization.</li> 
<li>Work with state management solutions and handle complex application state effectively.</li> 
<li>Participate in code reviews to maintain high coding standards and knowledge sharing.</li> 
<li>Debug and resolve frontend issues, ensuring cross-browser compatibility and optimal performance.</li> 
<li>Stay up-to-date with emerging technologies, frameworks, and industry trends in frontend development.</li> 
<li>Contribute to the continuous improvement of development processes and frontend architecture.</li> 
</ul> 

<h4 style=""color: red;"">Key Requirements</h4> 
<ul> 
<li><strong>Frontend Fundamentals:</strong> Strong command of HTML5, CSS3, and JavaScript (ES6+) with deep understanding of core concepts.</li> 
<li><strong>React.js Expertise:</strong> Proven experience in building and deploying web applications using React.js.</li> 
<li><strong>JavaScript Proficiency:</strong> Solid understanding of JavaScript fundamentals, including asynchronous programming, DOM manipulation, and modern JavaScript features.</li> 
<li><strong>State Management:</strong> Experience with Redux Toolkit (RTK) for managing complex application state.</li> 
<li><strong>Responsive Design:</strong> Expertise in creating responsive, mobile-first designs using CSS Grid, Flexbox, and media queries.</li> 
<li><strong>Version Control:</strong> Proficient in using Git for version control and collaborative development workflows.</li> 
<li><strong>Cross-browser Compatibility:</strong> Experience ensuring applications work seamlessly across different browsers and devices.</li> 
<li><strong>Performance Optimization:</strong> Knowledge of frontend performance optimization techniques and best practices.</li> 
<li><strong>Testing:</strong> Experience with frontend testing frameworks and methodologies.</li> 
<li><strong>Problem-Solving:</strong> Strong analytical and problem-solving skills with attention to detail.</li> 
<li><strong>Communication:</strong> Excellent verbal and written communication skills.</li> 
<li><strong>Team Collaboration:</strong> Ability to work effectively in a collaborative, agile team environment.</li> 
</ul> 

<h4 style=""color: red;"">Good to Have</h4> 
<ul> 
<li><strong>Next.js:</strong> Experience with Next.js framework for server-side rendering and static site generation.</li> 
<li><strong>Component Libraries:</strong> Knowledge of Shadcn/ui or other modern component libraries and design systems.</li> 
<li><strong>State Management Alternatives:</strong> Familiarity with Zustand or other state management solutions.</li> 
<li><strong>Database Knowledge:</strong> Understanding of NoSQL and SQL databases and their integration with frontend applications.</li> 
<li><strong>End-to-End Integration:</strong> Experience with API integration and full-stack application development.</li> 
<li><strong>Modern Tooling:</strong> Familiarity with modern build tools, bundlers (Webpack, Vite), and development workflows.</li> 
<li><strong>TypeScript:</strong> Experience with TypeScript for type-safe JavaScript development.</li> 
<li><strong>CSS Preprocessors:</strong> Knowledge of Sass, Less, or other CSS preprocessing tools.</li> 
<li><strong>Design Systems:</strong> Experience working with design tokens and component-driven development.</li> 
<li><strong>CI/CD:</strong> Familiarity with continuous integration and deployment pipelines for frontend applications.</li> 
</ul> 
",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, React, JavaScript",,20655
MERN Stack Developer,no,0,2,3,6,8/26/2025,"<h4 style=""color: red;"">Job Role</h4> 
<p> 
We are looking for a passionate <strong>MERN Stack Developer</strong> to join our engineering team. 
As a software engineer specializing in the MERN stack (MongoDB, Express.js, React, Node.js), 
you will be responsible for building and maintaining full-stack applications that are scalable, reliable, and user-friendly. 
If you are a problem-solver and thrive in an innovative and dynamic environment, we want to hear from you! 
</p> 

<ul> 
<li>Build scalable web applications using the MERN stack, including front-end development (React) and back-end development (Node.js and Express).</li> 
<li>Work closely with cross-functional teams, including designers and product managers, to implement new features and improve application performance.</li> 
<li>Ensure high-quality code that adheres to best practices, scalability, and security standards.</li> 
<li>Debug, optimize, and maintain the application for maximum performance.</li> 
<li>Integrate third-party APIs and manage databases using MongoDB.</li> 
<li>Work with Git for version control, ensuring clean collaboration in a team setting.</li> 
</ul> 

<h4 style=""color: red;"">Must Have Skills</h4> 
<ul> 
<li>MERN technologies</li> 
<li>Problem solving</li> 
<li>Javascript</li> 
<li>Python</li> 
</ul> 

<h4 style=""color: red;"">Good to Have Skills</h4> 
<ul> 
<li>Communication Skills</li> 
</ul> 

<h4 style=""color: red;"">Qualifications</h4> 
<ul> 
<li>0-2 years of experience in full-stack development using MERN technologies.</li> 
<li>Freshers with Internship experience required.</li> 
</ul> 

<h4 style=""color: red;"">Technical Skills</h4> 
<ul> 
<li>Experience with database design, API design, and integration (preferably MongoDB).</li> 
<li>Strong proficiency in Python, React.js, Node.js, Express.js, and MongoDB.</li> 
<li>Understanding of front-end technologies (HTML, CSS, JavaScript).</li> 
<li>Experience with RESTful APIs and asynchronous programming.</li> 
<li>Familiarity with cloud services (AWS etc.).</li> 
</ul> 

<h4 style=""color: red;"">Other Skills</h4> 
<ul> 
<li>Strong problem-solving skills and a deep understanding of algorithm design.</li> 
<li>Ability to work in an Agile environment with version control (Git).</li> 
<li>Good understanding of security and data protection principles.</li> 
<li>Good communication skills and the ability to work collaboratively in a team setting.</li> 
</ul> 
",Full Time,IT,Hyderabad,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, Python, MongoDB, JavaScript",,20656
Flutter developer- fresher,no,0,2,2.5,3.9,8/26/2025,"<h4 style=""color: red;"">Job Location</h4> 
<p>Hyderabad</p> 

<h4 style=""color: red;"">Company Overview</h4> 
<p> 
We are a full-stack IT service provider offering end-to-end technology solutions to help businesses transform ideas into powerful digital products. 
Our expertise spans custom software, web & mobile app development, cloud solutions, enterprise automation, and AI/ML integration. 
With an agile approach, skilled team, and client-first mindset, we ensure every solution is scalable, secure, and tailored to drive real business value. 
</p> 

<h4 style=""color: red;"">Job Overview</h4> 
<p> 
We are seeking a skilled and motivated <strong>Flutter Developer</strong> to join our team. 
You will be responsible for implementing efficient app architecture, state management, integrating Firebase services, and optimizing mobile apps for performance across various devices. 
</p> 

<h4 style=""color: red;"">Roles and Responsibilities</h4> 
<ul> 
<li>Implement and contribute to building cross-platform mobile applications using Flutter & Dart.</li> 
<li>Implement authentication flows including Firebase Auth, OTP login, and JWT-based authentication.</li> 
<li>Integrate payment gateways such as Razorpay, Stripe, and PayU under guidance.</li> 
<li>Develop and consume REST APIs while handling basic error cases.</li> 
<li>Apply simple state management techniques using Provider or Riverpod.</li> 
<li>Utilize Firebase services such as Firestore, Cloud Messaging, and Crashlytics in app development.</li> 
<li>Optimize app performance for smooth UI rendering and faster load times.</li> 
<li>Write clean, modular, and well-documented code.</li> 
<li>Collaborate effectively with senior developers, designers, backend engineers, and QA teams in an Agile environment.</li> 
</ul> 

<h4 style=""color: red;"">Must Have Skills</h4> 
<ul> 
<li>Good understanding of Flutter & Dart.</li> 
<li>Basic knowledge of Firebase Auth and OTP login flow. Familiarity with REST API integration.</li> 
<li>Understanding of at least one state management approach (Provider, Riverpod, etc.).</li> 
<li>Knowledge of Git for version control.</li> 
<li>Enthusiasm for debugging and problem-solving with a willingness to learn performance best practices.</li> 
</ul> 

<h4 style=""color: red;"">Qualifications</h4> 
<ul> 
<li>B.Tech in Computer Science or Information Technology (Graduated in 2024 or later).</li> 
<li>Completion of a structured course in Flutter development (Mandatory).</li> 
<li>Completion of at least one internship focused on Flutter development (Mandatory).</li> 
</ul> 
",Full Time,IT,Hyderabad,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"Flutter, Dart",,20657
Software Engineer Trainee- Java Developer,no,0,2,2.5,3.2,8/26/2025,"<h4 style=""color: red;"">Job Summary</h4> 
<p> 
We are hiring passionate and motivated fresh graduates for the role of <strong>Software Engineer Trainee</strong>. 
Candidates must have a strong foundation in Java, Advanced Java, OOPs, DBMS, and SQL. 
This is a great opportunity to work on real-time projects and grow your technical skills in a collaborative environment. 
</p> 

<h4 style=""color: red;"">Key Responsibilities</h4> 
<ul> 
<li>Assist in designing, developing, and testing software applications</li> 
<li>Write clean, efficient, and maintainable code</li> 
<li>Work on database queries and performance optimization</li> 
<li>Debug and resolve technical issues</li> 
<li>Learn and adapt to new tools, technologies, and programming languages</li> 
<li>Participate in team discussions and contribute to project progress</li> 
</ul> 

<h4 style=""color: red;"">Mandatory Skills</h4> 
<ul> 
<li>Java & Advanced Java</li> 
<li>Object-Oriented Programming (OOPs)</li> 
<li>SQL & DBMS concepts</li> 
<li>Good analytical and problem-solving skills</li> 
<li>Strong willingness to learn and grow</li> 
<li>Should be ready to learn any new programming language</li> 
<li>Should be open to relocate as per project requirements</li> 
</ul> 

<h4 style=""color: red;"">Eligibility Criteria</h4> 
<ul> 
<li>Must be a recent graduate in Computer Science, IT, or related field</li> 
<li>Must be available for immediate joining</li> 
</ul> 
",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://airditsoftware.zohorecruit.in/jobs/Careers/129596000001351001/Software-Engineer-Trainee--Java-Developer?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Java, SQL",,20658
Junior QA Engineer,no,0,2,3,4,8/26/2025,"<h4 style=""color: red;"">Job Role</h4> 
<p> 
Trawex is looking for a highly-energetic <strong>Test Engineer / Quality Assurance (QA) Specialist</strong> to develop and execute exploratory, manual and automated tests to ensure product quality. 
The QA technician role plays an important part in our company's product development process. 
Our ideal candidate will be responsible for conducting tests before product launches to ensure software runs smoothly and meets client needs, while being cost-effective. 
If you hold an engineering background and enjoy providing end-to-end solutions to software quality problems, we'd like to meet you. 
Ultimately, you should monitor all stages of software development to identify and resolve system malfunctions to meet quality standards. 
</p> 

<p> 
In software testing, automation testing is the use of software separate from the software being tested to control the execution of tests and the comparison of actual outcomes with predicted outcomes. 
</p> 

<p><strong>Fresher's or few months experience in a similar role.</strong></p> 

<h4 style=""color: red;"">Requirements for Manual Test Engineer</h4> 
<ul> 
<li>Proven work experience or knowledge in software development</li> 
<li>Proven work experience or knowledge in software quality assurance</li> 
<li>Strong knowledge of software QA methodologies, tools and processes</li> 
<li>Experience or knowledge in writing clear, concise and comprehensive test plans and test cases</li> 
<li>Hands-on experience or knowledge with both white box and black box testing</li> 
<li>Hands-on experience or knowledge with automated testing tools</li> 
<li>Solid knowledge of SQL and scripting</li> 
<li>Experience or knowledge of working in an Agile/Scrum development process</li> 
<li>Experience or knowledge with performance and/or security testing is a plus</li> 
<li>BS/MS degree in Computer Science, Engineering or a related subject</li> 
</ul> 

<h4 style=""color: red;"">Responsibilities of Manual Test Engineer</h4> 
<ul> 
<li>Reviewing quality specifications and technical design documents to provide timely and meaningful feedback</li> 
<li>Creating detailed, comprehensive and well-structured test plans and test cases</li> 
<li>Estimating, prioritizing, planning and coordinating quality testing activities</li> 
<li>Review requirements, specifications and technical design documents to provide timely and meaningful feedback</li> 
<li>Create detailed, comprehensive and well-structured test plans and test cases</li> 
<li>Estimate, prioritize, plan and coordinate testing activities</li> 
<li>Design, develop and execute manual and automation scripts using open source tools</li> 
<li>Identify, record, document thoroughly and track bugs</li> 
<li>Develop and apply testing processes for new and existing products to meet client needs</li> 
<li>Liaise with internal teams (e.g. developers and product managers) to identify system requirements</li> 
<li>Monitor debugging process results</li> 
<li>Investigate the causes of non-conforming software and train users to implement solutions</li> 
<li>Track quality assurance metrics, like defect densities and open defect counts</li> 
<li>Stay up-to-date with new testing tools and test strategies</li> 
</ul> 

<h4 style=""color: red;"">Our Requirements for Automation Test Engineer</h4> 
<ul> 
<li>Very good exposure of Testing and acquired sound knowledge in Testing processes.</li> 
<li>Exposure to automation testing tools like Selenium (Web Driver), Testing, Maven.</li> 
<li>Working experience and worked in testing annotation.</li> 
<li>Working experience or knowledge on mobile automation for Mobile App & web Application.</li> 
<li>Working experience or knowledge on hybrid framework for desktop web, mobile app and Mobile web application.</li> 
<li>Proficient in design technique, test execution, analyzing the results, bug Reporting</li> 
<li>Exposure knowledge to automation testing process and framework developments.</li> 
<li>Good knowledge to development automation testing framework as per business need.</li> 
<li>Exposure knowledge to development framework for API testing. Working experience or knowledge to design Automation test case for all possible scenarios for web application.</li> 
<li>Working as an automation expert</li> 
<li>Designing Automation Test scripts of various section and validate data</li> 
<li>Design Automation test on mobile site and app.</li> 
<li>Executing test cases on multiple machines as well as different configurations mobile devices.</li> 
<li>Exposure to automation testing tools like Selenium (Web Driver), Appium, TestNG, Maven</li> 
<li>Working experience or knowledge on designing test case for desktop web, mobile app and Mobile Web Application.</li> 
<li>Exposure knowledge to development framework for API Automation testing.</li> 
<li>Working experience or knowledge for parallel execution of test case across different operation system as well as multiple supports browsers.</li> 
<li>Working experience or knowledge to grid setup and execution test case on grid machines.</li> 
<li>Working experience or knowledge to create mobile emulation for multiple configuration and execution of test cases on mobile emulators.</li> 
<li>Hands-on test automation experience, in a professional software development environment</li> 
<li>Strong experience or knowledge in integrating test automation fully into the CI chain and how to keep tests healthy</li> 
<li>In-depth knowledge of a variety of testing techniques and methodologies</li> 
<li>A solid understanding of test driven development, continuous integration, continuous delivery both in principle and in practice</li> 
<li>Experience or knowledge in several test automation frameworks, e.g Data-Driven, Keyword-Driven, and Hybrid.</li> 
</ul> 
",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.trawex.com/junior-software-test-engineer.php?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,SQL,,20659
Python Developer,no,0,2,6,7,8/26/2025,"<a href=""https://drive.google.com/file/d/1rSBytD6DGihox-ewmVyH0TpT8BjvF6YU/view?usp=sharing"" target=""_blank""> 
Django Developer Application Form 
</a> 

<h4 >We are looking for a backend developer to be a part of the OneFin engineering team and help us build functional systems and deliver customized software solutions for clients.</h4> 

<h4 style=""color: red;"">Responsibilities</h4> 
<ul> 
<li>Design and implement backend infrastructure and APIs.</li> 
<li>Write high-quality, robust, readable, and scalable code.</li> 
<li>Demonstrate the ability to dive deep and thrive in ambiguous situations.</li> 
<li>Promote and support knowledge sharing within teams and external groups.</li> 
<li>Troubleshoot and debug applications.</li> 
<li>Adopt problem-solving as a core approach, always aiming for the root cause.</li> 
<li>Collaborate with the team to discuss and implement innovative ideas.</li> 
<li>Build responsive, robust, and optimized applications.</li> 
</ul> 

<h4 style=""color: red;"">Requirements and Qualifications:</h4> 
<ul> 
<li>Bachelor's degree in Computer Science, Engineering, or related field.</li> 
<li>Minimum 2 years of experience as a Django Developer or similar role, preferably in bfsi, fintech organization.</li> 
<li>Proficiency in Python, with a solid understanding of Django, Celery, and Redis.</li> 
<li>Strong understanding of backend best practices and architecture.</li> 
<li>Experience in designing extensible DRY code.</li> 
<li>Ability to work effectively in a team environment and communicate technical ideas clearly.</li> 
<li>Experience with AWS or other cloud services.</li> 
</ul>",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Django,,20660
Full Stack Developer Intern,no,0,2,1.8,2.4,8/26/2025,"<p>We are seeking a motivated and hands-on Full Stack Developer Intern to join our dynamic team. This role offers an opportunity to build real-world projects from the ground up, work across the technology stack, and solve challenging problems. If you’re excited about learning, experimenting, and creating impactful solutions, we want to hear from you. Bonus points if you bring experience or curiosity around DevOps, Ruby on Rails, Vue.js, or Next.js!</p> 

<h4 style=""color:red;"">Key Responsibilities:</h4> 
<ul> 
<li>Work on both frontend and backend development to build and enhance web applications.</li> 
<li>Collaborate with senior developers to design, code, test, and deploy features.</li> 
<li>Troubleshoot bugs, optimize performance, and improve the user experience.</li> 
<li>Participate in brainstorming sessions to explore innovative technical solutions.</li> 
<li>Write clean, maintainable, and efficient code while adhering to best practices.</li> 
</ul> 

<h4 style=""color:red;"">Qualifications:</h4> 
<ul> 
<li>Currently pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field.</li> 
<li>Basic knowledge of frontend technologies (e.g., HTML, CSS, JavaScript, React) and backend development (e.g., Node.js, Python, or similar).</li> 
<li>Familiarity with databases (e.g., MongoDB, PostgreSQL) and version control systems like Git.</li> 
<li>Strong problem-solving skills, with a passion for building and learning rapidly.</li> 
<li>Ability to work independently and collaborate effectively with a team.</li> 
</ul> 

<h4 style=""color:red;"">Bonus Skills:</h4> 
<ul> 
<li>Exposure to Ruby on Rails, Vue.js, or Next.js frameworks.</li> 
<li>Basic understanding of DevOps concepts and tools (e.g., CI/CD pipelines, Docker, or Kubernetes).</li> 
</ul> 

<h4 style=""color:red;"">Why Join Us?</h4> 
<ul> 
<li>Gain hands-on experience building projects that will see real-world use.</li> 
<li>Work in a fast-paced environment that values creativity and growth.</li> 
<li>Collaborate with experienced developers and learn best practices.</li> 
<li>Build a strong portfolio with meaningful contributions to impactful projects.</li> 
</ul> 

<p><b>Job Types:</b> Full-time, Fresher, Internship</p> 
<p><b>Contract length:</b> 3 months</p> 
<p><b>Pay:</b> ?10,000.00 - ?20,000.00 per month</p> 
<p><b>Work Location:</b> In person</p>",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, JavaScript, React, Python",,20661
QA Fresher,no,0,2,3,5,8/26/2025,"<h4 style=""color: red;"">Job Description</h4> 
<ul> 
<li>Should have exposure in Manual and Automation Testing both.</li> 
<li>Work closely with the Senior Tester to understand, review and contribute to Product requirement definitions.</li> 
<li>Exposure in writing test cases of the related scenarios, Ability to develop positive and negative scenarios for any project assigned.</li> 
<li>Exposure on API Test automation and Test execution.</li> 
<li>Responsible for ensuring quality of their own work.</li> 
<li>Exposure in Selenium tool for automation testing.</li> 
<li>Excellent verbal and written communication skills.</li> 
<li>Basic understanding of the Agile software development methodology (Kanban or Scrum) and QA's role in it.</li> 
<li>Exposure in Mobile Automation with iOS or Android testing worked on Trade Market Domain.</li> 
</ul> 
",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Manual Testing,,20662
Backend Developer ,no,0,2,2.5,3.2,8/26/2025,"<h4 style=""color: red;"">Position Overview:</h4> 
<p> 
We are looking for a talented and self-motivated Back-end Developer to join our development team. The ideal candidate will be responsible for writing clean, efficient, and maintainable code that enhances workflow organization and automates various internal processes within the organization. The role involves continuous improvement of our software solutions to save man-hours and ensure overall organizational efficiency. Key tasks include development, testing, debugging, troubleshooting, and maintenance of both new and existing programs. 
</p> 

<h4 style=""color: red;"">Key Responsibilities:</h4> 
<ul> 
<li>Software Development: Write clean, efficient, and maintainable code/flows that automate internal processes and improve workflow efficiency.</li> 
<li>Testing and Maintenance: Perform testing, debugging, troubleshooting, and daily maintenance of created or integrated programs.</li> 
<li>Adherence to Standards: Follow preferred development methodologies and adhere to organizational development standards.</li> 
<li>Team Work: Work closely with other team members to ensure the successful implementation of projects. Maintain clear and concise documentation of code, APIs, and software components to aid in knowledge sharing and future development.</li> 
<li>Stay Current: Keep up to date with the latest developments in the Python, RPA ecosystem and engage in best practices of software engineering.</li> 
</ul> 

<h4 style=""color: red;"">Required Skills</h4> 

<p><strong>Backend Expertise in one of the following:</strong></p> 
<ul> 
<li>Proficiency in Python with Django or FastAPI</li> 
<li>Proficiency in JavaScript/TypeScript with Node.js, Express.js, or NestJS</li> 
</ul> 

<p><strong>Database Skills:</strong></p> 
<ul> 
<li>Experience with relational databases such as PostgreSQL or MySQL</li> 
<li>Familiarity with NoSQL databases such as MongoDB or Redis</li> 
<li>Hands-on use of an ORM or query builder in your stack</li> 
</ul> 

<p><strong>API Development:</strong></p> 
<ul> 
<li>Strong experience building RESTful or GraphQL APIs</li> 
<li>Knowledge of authentication, authorization, and secure API practices</li> 
</ul> 

<p><strong>Version Control and Deployment:</strong></p> 
<ul> 
<li>Proficiency with Git</li> 
<li>Ability to work in modern deployment environments including cloud, Docker, or Kubernetes</li> 
</ul> 

<p><strong>Architecture and Performance:</strong></p> 
<ul> 
<li>Experience with server optimization, caching, and asynchronous processing</li> 
</ul> 

<p><strong>Additional Knowledge:</strong></p> 
<ul> 
<li>Exposure to data manipulation libraries such as Pandas or NumPy</li> 
<li>Familiarity with machine learning or data pipelines for integration or support</li> 
<li>Experience with CI/CD pipelines and infrastructure as code</li> 
</ul> 

<h4 style=""color: red;"">Eligibility Details:</h4> 
<ul> 
<li><strong>Minimum Educational qualifications:</strong> Bachelor's degree in any domain. Candidates with Computer Science, Information Science, Computer applications background are preferred.</li> 
</ul> 
",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"Python, Django, JavaScript, PostgreSQL, MongoDB",,20663
Game Tester,no,0,2,2,4.8,8/26/2025,"<h4 style=""color:red;"">Job Description :</h4> 
<h4>Hands on experience in mobile game testing (Android and IOS).</h4> 
<h4>Must have strong experience working on Gaming Domain.</h4> 
<h4>Must be passion towards Gaming.</h4> 
<h4>Should have strong experience writing test cases, test scenarios.</h4> 
<h4>Strong work experience in JIRA, Charles Proxy, Game Bench tools.</h4> 
<h4>Excellent Communication.</h4> 
<h4>Must be flexible for noon shift and night shift (NSA and Cab Facilities provided).</h4> 
",Full Time,IT,Bangalore,B.Tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Manual Testing,,20664
