JobTitle,isSaved,MinimumExperience,MaximumExperience,MinSalary,MaxSalary,CreationDate,Description,EmployeeType,IndustryType,Location,MinimumQualification,Promote,Specialization,JobStatus,VisitorCount,job_url,SkillsRequired,ScreeningQuestions,job_recruiter_recruiter_id
Junior Engineer IT -Fresher (JEI0525),no,0,2,1.9,2.5,5/13/2025,"<h4 style=""color:red;"">Job Description:</h4> 
<p>Edall Systems is looking for fresh graduates with a BCA or B.Tech qualification to join our IT department as a Junior Engineer. This role focuses on working with specialized software like Agisoft, Pix4D and other applications used in geospatial processing.</p> 

<h4 style=""color:red;"">Key Responsibilities:</h4> 
<ul> 
<li>Operate and manage Agisoft, Pix4D and other technical software for geospatial data.</li> 
<li>Perform data checks, visualization, and optimization within specialized applications</li> 
<li>Assist in refining workflows for software-based operations</li> 
<li>Troubleshoot software-related issues and ensure smooth functionality</li> 
<li>Collaborate with teams to enhance processing accuracy and efficiency</li> 
<li>Maintain documentation and reports related to software usage and findings</li> 
</ul> 

<h4 style=""color:red;"">Required Skills & Qualifications:</h4> 
<ul> 
<li> Bachelor's degree in BCA or B.Tech (Freshers welcome!)</li> 
<li> Strong computer operation skills and ability to navigate technical software</li> 
<li> Familiarity with Agisoft, Pix4D or other geospatial tools is a plus</li> 
<li> Good problem-solving and analytical thinking</li> 
<li> Ability to process and interpret data within software applications</li> 
<li> Eagerness to learn new tools and improve workflows</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://edallsystems.com/careers/junior-engineer-it-fresher-jei0525/?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Python,,20506
Robotics Testing Engineer ,no,0,2,5.4,6.9,5/13/2025,"<h4 style=""color:red;"">Job Summary:</h4> 
<p>We are looking for a highly motivated Test Operations Engineer to join our Robotics R&amp;D team. The ideal candidate should have a strong background in ROS 1 &amp; ROS 2, C++, Python, and Embedded Systems, with a solid understanding of robot controllers, system architecture, and hardware/software debugging. You will work closely with our Embedded Hardware and Product Design teams to validate and verify robotic systems, ensuring robust performance across all modules. The individual should also be willing to travel to new locations for system deployments and on-site testing.</p> 

<h4 style=""color:red;"">Responsibilities:</h4> 
<ul> 
<li>Collaborate with Embedded and Mechanical teams to validate robotic systems and sub-systems.</li> 
<li>Conduct hardware and software debugging of embedded and robotic systems.</li> 
<li>Design and execute comprehensive test cases for controllers, sensors, actuators, and overall system flow.</li> 
<li>Analyze system behavior and assist in identifying bottlenecks or failures.</li> 
<li>Document results and create detailed test reports and feedback loops for design improvement.</li> 
<li>Develop automation scripts and tools for testing using Python and C++.</li> 
<li>Be ready to travel to new locations for system deployments, field testing, and on-site validation.</li> 
</ul> 

<h4 style=""color:red;"">Key Skills:</h4> 
<ul> 
<li>Strong proficiency in ROS 1 &amp; 2</li> 
<li>Advanced programming skills in C++, Python, and Embedded C.</li> 
<li>Good understanding of controllers (PID, feedforward, etc.) and low-level firmware.</li> 
<li>Familiarity with robot system architecture including sensors, actuators, and control loops.</li> 
<li>Expertise in hardware debugging and using tools like oscilloscopes, logic analyzers, etc.</li> 
</ul> 

<h4 style=""color:red;"">Preferred Experience &amp; Qualifications:</h4> 
<ul> 
<li>Hands-on experience with Arduino or other microcontroller-based platforms.</li> 
<li>Strong understanding of embedded system flow and real-time constraints.</li> 
<li>Knowledge of sensor integration, actuator control, and data communication protocols (I2C, SPI, UART).</li> 
<li>Exposure to Robot development workflows using ROS.</li> 
<li>Ability to read circuit schematics and debug embedded hardware issues.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Python,,20507
Test and Implementation Engineer - Fresher,no,0,2,3,4,5/13/2025,"<h4 style=""color:red;"">Brief Description:</h4> 
<p>Configure, implement, and demonstrate software products. The implementation cycle includes requirements validation, overseeing projects with specific development requirements, internal testing, and guiding clients through user acceptance to go-live status. Test and Implementation Engineer is also responsible for the development and delivery of training for both administrators and end-users. Document all customer interactions in designated CRM, and provide excellent customer experiences.</p> 

<h4 style=""color:red;"">Job Responsibilities Include:</h4> 
<ul> 
<li>Guide and drive the client towards the best solution for their business needs</li> 
<li>Analyze existing systems, interface requirements, business processes</li> 
<li>Partner with clients to understand their business and related needs</li> 
<li>Testing, and providing final QA/QC before client is ready to go live.</li> 
<li>The testing all aspects of the product/system like function/component, system, performance, regression and service</li> 
<li>Working with the development team to identify and capture test cases, ensure version management setting up of test environments, designing test plans, developing test cases/scenarios/usage cases, and executing these cases.</li> 
<li>Providing feedback on usability and serviceability, trace the result to quality risk and report it to concerned people.</li> 
<li>Good Communication Skill, able to articulate and a command on English.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Manual Testing,,20508
Software Engineer (C++),no,0,2,3,6,5/13/2025,"<h4 style=""color:red;"">Job Overview:</h4> 
<p>We are seeking a skilled software Engineer with proficiency in C++ to design, develop, and maintain both frontend and backend application for next-generation drone and UAV operation. The ideal candidate will have hands-on experience with Qt and QML technologies, along with a strong background in software development for Linux embedded platforms. This role requires a proactive individual who is self-motivated and capable of working independently or as part of a collaborative team.</p> 

<h4 style=""color:red;"">Key Responsibilities:</h4> 
<ul> 
<li>Implement user-friendly interfaces for mission planning, flight monitoring, and data visualization using C++ and Qt framework. CTC: 3 LPA - 6 LPA</li> 
<li>Implement robust communication protocols for reliable data exchange between GCS and drone/UAV.</li> 
<li>Collaborate with cross-functional teams to translate UAV operational requirements into functional GCS features.</li> 
<li>Integrate various onboard sensor data feeds (GPS, LiDAR, IMU, etc.) for real-time situational awareness.</li> 
<li>Develop autonomous flight algorithms for waypoint navigation, obstacle avoidance, and dynamic mission execution.</li> 
<li>Collaborate with cross-functional teams to deliver optimized software solutions.</li> 
<li>Utilize Git for version control, ensuring clear documentation and well-managed codebases.</li> 
<li>Stay up-to-date with industry standards and best practices.</li> 
<li>Knowledge of developing communication protocols and data exchange mechanisms.</li> 
</ul> 

<h4 style=""color:red;"">Required Qualifications:</h4> 
<ul> 
<li>Bachelor's degree in Computer Science, Software Engineering, or a related field. A higher degree or specialization can be advantageous but not typically required.</li> 
</ul> 

<h4 style=""color:red;"">Experience:</h4> 
<ul> 
<li>Minimum of 2 years of experience in software development with a strong focus on C++ and Qt framework.</li> 
<li>Minimum of 1 year of hands-on experience in application development using Qt and QML technologies.</li> 
<li>Experience in software development for Linux embedded platforms.</li> 
<li>Solid understanding of MAVLink or similar UAV communication protocols.</li> 
<li>Previous work with drone or UAV technology would be highly beneficial.</li> 
</ul> 

<h4 style=""color:red;"">Skills:</h4> 
<ul> 
<li>Strong understanding of C++ and object-oriented programming.</li> 
<li>Proficiency with Qt and QML for frontend and backend application Development.</li> 
<li>Familiarity with code versioning tools, particularly Git.</li> 
<li>Experience with tools and methodologies that ensure high-quality code delivery (e.g., static analysis, code reviews, testing frameworks).</li> 
<li>Ability to design intuitive and user-friendly interfaces, considering the complex functionalities of a GCS that caters to both novice and expert users.</li> 
<li>Understanding of modular and scalable software architecture, essential for developing complex software systems like a GCS.</li> 
</ul> 

<h4 style=""color:red;"">Abilities:</h4> 
<ul> 
<li>Ability to work independently and as part of a team.</li> 
<li>Strong problem-solving skills with a focus on quality and attention to detail.</li> 
<li>Self-motivated with the ability to manage and prioritize multiple tasks.</li> 
</ul> 

<p>If you're passionate about creating exceptional user experiences and have the skills to match, we'd love to hear from you. Join our team and be part of a company that values innovation and creativity.</p> 
",Full Time,IT,Thiruvananthapuram,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,C+,,20509
Software Developer,no,0,2,1.2,1.8,5/13/2025,"<h4 style=""color:red;"">Job Summary:</h4> 
<p>We are looking for a skilled and passionate Software Developer to join our team. The ideal candidate will be responsible for developing, testing, and deploying software solutions, ensuring their performance, scalability, and functionality. You will collaborate with cross-functional teams to create high-quality software that meets the needs of the business and end-users.</p> 

<h4 style=""color:red;"">Key Responsibilities:</h4> 
<ul> 
<li><strong>Software Development:</strong> Write clean, efficient, and maintainable code for web, desktop, or mobile applications.</li> 
<li><strong>Application Design:</strong> Work closely with stakeholders to design software solutions based on user requirements.</li> 
<li><strong>Testing & Debugging:</strong> Conduct unit and integration tests to ensure the quality and reliability of the software. Debug issues and work towards solutions.</li> 
<li><strong>Code Maintenance:</strong> Maintain, update, and optimize existing software to improve performance and user experience.</li> 
<li><strong>Collaboration:</strong> Work with other developers, project managers, and designers to create seamless solutions.</li> 
<li><strong>Documentation:</strong> Create and maintain technical documentation for code, applications, and software systems.</li> 
<li><strong>Version Control:</strong> Use version control systems like Git to manage code repositories.</li> 
<li><strong>Agile Development:</strong> Participate in Agile development processes such as sprints, stand-ups, and retrospectives.</li> 
<li><strong>Problem Solving:</strong> Troubleshoot, debug, and resolve software defects or performance issues.</li> 
<li><strong>Learning & Improvement:</strong> Stay updated with the latest industry trends, tools, and technologies.</li> 
</ul> 

<h4 style=""color:red;"">Required Qualifications:</h4> 
<ul> 
<li>Bachelor's degree in Computer Science, Information Technology, or related field (or equivalent work experience).</li> 
<li>Proven experience as a Software Developer, Software Engineer, or similar role.</li> 
<li>Strong knowledge of programming languages such as Java, C#, Python, JavaScript, or Ruby.</li> 
<li>Experience with frameworks such as React, Angular, Django, .NET, etc.</li> 
<li>Understanding of database management systems (e.g., SQL, NoSQL).</li> 
<li>Familiarity with version control tools (e.g., Git).</li> 
<li>Strong problem-solving and analytical skills.</li> 
<li>Ability to work independently and in a team environment.</li> 
<li>Good communication skills to collaborate with team members and clients.</li> 
</ul> 

<h4 style=""color:red;"">Preferred Qualifications:</h4> 
<ul> 
<li>Experience with cloud platforms (AWS, Azure, GCP).</li> 
<li>Knowledge of mobile application development (iOS/Android).</li> 
<li>Experience with DevOps practices and CI/CD pipelines.</li> 
<li>Familiarity with Agile methodologies like Scrum or Kanban.</li> 
<li>Familiarity with containerization and orchestration tools like Docker and Kubernetes.</li> 
</ul> 
",Full Time,IT,Chennai,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"Python, Django, .Net, React, JavaScript",,20510
Software Development Engineer,no,0,2,3.5,4,5/13/2025,"<h4 style=""color:red;"">Key Responsibilities</h4> 
<ul> 
<li>As a media streaming engineer, you will be responsible for developing features, contributing to media systems design, analysing performance, and tuning algorithms for streaming media playback.</li> 
<li>You will be involved in client-side development for MediaFirst streaming product.</li> 
<li>You will work closely with strategic partners and app developers to help in the development and debugging of our streaming technologies on our platforms.</li> 
<li>Design, develop, test, and maintain software applications using OOP principles.</li> 
<li>Collaborate with senior developers and cross-functional teams to define, design, and ship new features.</li> 
<li>Write clean, maintainable, and efficient code.</li> 
<li>Participate in code reviews and follow coding best practices and standards.</li> 
<li>Debug and troubleshoot issues in a timely manner.</li> 
<li>Assist in the creation of technical documentation and user manuals.</li> 
<li>Stay updated with emerging trends in software development and continuously improve skills.</li> 
</ul> 

<h4 style=""color:red;"">Required Skills And Qualifications</h4> 

<h4><strong>Must have skills:</strong></h4> 
<ul> 
<li>Solid understanding of Object-Oriented Programming concepts.</li> 
<li>Proficiency in at least one OOP language such as Java, C++, C# or Python.</li> 
<li>Basic understanding of data structures, algorithms, and design patterns.</li> 
<li>Familiarity with version control systems like Git.</li> 
<li>Ability to work effectively in a team and communicate clearly.</li> 
<li>Good problem-solving and analytical skills.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://jobs.dayforcehcm.com/en-US/mediakind/CANDIDATEPORTAL/jobs/2252?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"Java, Python",,20511
Associate Software Engineer ,no,0,2,4.5,5.2,5/13/2025,"<h4 style=""color:red;"">THE OPPORTUNITY</h4> 
<p> 
As an Associate Software Engineer at Xactly, you'll be an essential member of a fast moving agile development team building Xactly's newest products. 
You will contribute to all aspects from design and development to deployment and support working alongside product management and customer support. 
You'll be responsible for taking personal ownership in both your code and others, this includes ensuring proper tests, documentation and communication around development. 
At Xactly, we believe everyone has a unique story to tell, and these small differences between us have a big impact. 
When bright, diverse minds come together, we're challenged to think different ways, generate creative ideas, be more innovative, and take on new perspectives. 
Our customers come from different cultures and walks of life all around the world, and we believe our teams should reflect that to build strong and lasting relationships. 
</p> 

<h4 style=""color:red;"">THE TEAM</h4> 
<p> 
Xactly's Engineering team is growing rapidly and we need someone who can work the product Incent. 
Covering offices in Los Gatos, Denver, Bangalore we have a strong focus on cutting-edge and high-quality code and products. 
All engineers are encouraged to operate independently with the highly level of accountability, but also have the ability to be a team player and work with multiple teams. 
</p> 
<p> 
Here at Xactly, we pride ourselves in building teams with diversity of opinions in order to build the best software possible. 
We understand that not everyone works the same way and strive to create a flexible open environment to allow you to create the work/life balance that works best for you. 
</p> 

<h4 style=""color:red;"">THE SKILL SET</h4> 
<ul> 
<li>Bachelor's or Masters with 1-2 year experience in SaaS based web application or platform development and architecture.</li> 
<li>Solid hands on experience with Java and Good analytical and problem-solving skills.</li> 
<li>Strong commitment to good engineering discipline and process including code reviews and delivering unit tests in conjunction with feature delivery</li> 
<li>Familiarity with agile (scrum) development process.</li> 
<li>Good experience in Spring-boot and REST Services</li> 
<li>Hands on working experience with SQL (preferable working experience with Oracle DB) and good knowledge of RDBMS</li> 
<li>Self-starter that is results focused with the ability to work independently and in teams.</li> 
<li>Working knowledge of public clouds such as AWS or OCI and modern CI/CD tools and practices will be a plus</li> 
</ul> 

<h4 style=""color:red;"">Within One Month, You'll</h4> 
<ul> 
<li>Attend New Hire Training</li> 
<li>Learn the Dev and QE processes</li> 
<li>Gain exposure to Xactly's product suite</li> 
<li>Learn about Xactly's tools and technologies</li> 
<li>Get to know your team in India, US</li> 
<li>Local development environment should be up and running for different applications and ready to troubleshoot customer issues.</li> 
</ul> 

<h4 style=""color:red;"">Within Three Months, You'll</h4> 
<ul> 
<li>Fix product issues/bugs in different areas from different products.</li> 
<li>Troubleshoot customer issues and the knowledge on different Technologies from the different products.</li> 
<li>Code reviews and learn different tools like Git , Jira & confluences.</li> 
</ul> 

<h4 style=""color:red;"">Within Six Months, You'll</h4> 
<ul> 
<li>Ensure the best dev practices are being used in different products</li> 
<li>Ensure that he/she is releasing the customers issues that he fixed in Agile process.</li> 
<li>Participate and contribute in maintenance and new product SDLC and should be able to work individually on any tasks.</li> 
</ul> 

<h4 style=""color:red;"">Within Twelve Months, You'll</h4> 
<ul> 
<li>Partner and work cross functionally with other dev teams and the QE team</li> 
<li>Take full ownership of features and processes of the product</li> 
<li>Continuously think about and work on process improvements for an always high-quality product</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://careers.xactlycorp.com/jobs/2388?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,SQL,,20512
Software Engineer (Frontend),no,0,2,2.5,3.2,5/13/2025,"<h4 style=""color:red;"">What You'll Do</h4> 
<ul> 
<li>Build and own product experiences used by compliance teams around the world</li> 
<li>Develop responsive, performant, and accessible interfaces using TypeScript and React</li> 
<li>Work closely with design, backend, and product teams to ship fast and iterate quickly</li> 
<li>Contribute to design systems, UI component libraries, and internal tooling</li> 
<li>Help shape engineering culture, tools, and best practices</li> 
</ul> 

<h4 style=""color:red;"">We're Looking For</h4> 
<ul> 
<li>Strong experience in modern frontend frameworks (React preferred)</li> 
<li>Solid foundation in JavaScript/TypeScript, HTML, and CSS</li> 
<li>Familiarity with API integrations, state management, and frontend performance optimization</li> 
<li>Product-oriented mindset — care about UX and the impact of your work</li> 
<li>Bonus: Experience with Vite, and Tailwind</li> 
</ul> 

<h4 style=""color:red;"">Why AiPrise</h4> 
<ul> 
<li>Work directly with the founders and core engineering team</li> 
<li>Fast-paced, high-impact startup environment</li> 
<li>Clear ownership, autonomy, and scope for growth</li> 
<li>Flexible remote setup and competitive compensation</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, JavaScript",,20513
Software Engineer,no,0,2,9.5,10,5/13/2025,"<h4 style=""color:red;"">Key Responsibilities</h4> 
<ul> 
<li>Design, develop, test, and maintain backend services in Golang or Rust</li> 
<li>Build responsive, user-friendly frontends using React.js</li> 
<li>Write efficient, well-structured SQL queries and work with PostgreSQL databases</li> 
<li>Work with Kafka for distributed messaging and stream processing</li> 
<li>Participate in developing, testing, and maintaining microservices and RESTful APIs</li> 
<li>Collaborate with cross-functional teams to gather and understand product requirements</li> 
<li>Write clean, maintainable, and well-documented code following best practices</li> 
<li>Participate in code reviews, design discussions, and sprint planning meetings</li> 
<li>Contribute to unit and integration test coverage to ensure reliability and scalability</li> 
<li>Assist in debugging production issues and developing fixes.</li> 
<li>Continuously learn and apply new technologies, tools, and practices.</li> 
</ul> 

<h4 style=""color:red;"">Required Skills & Qualifications</h4> 
<ul> 
<li>Bachelor degree in Computer Science, Engineering, or a related field also average experience should be 1+ years.</li> 
<li>Proficiency in both the backend language: Golang and Rust (preferred).</li> 
<li>Experience with modern JavaScript frameworks, particularly React.js.</li> 
<li>Solid understanding of PostgreSQL or similar relational databases.</li> 
<li>Exposure to message brokers like Apache Kafka.</li> 
<li>Understanding of microservices architecture and containerized deployments (Docker/Kubernetes is a plus).</li> 
<li>Familiarity with RESTful APIs, version control (Git), and CI/CD tools.</li> 
<li>Strong problem-solving skills and attention to detail.</li> 
<li>Good communication skills and the ability to work collaboratively in a team environment.</li> 
</ul> 

<h4 style=""color:red;"">Preferred Qualifications (Nice to Have)</h4> 
<ul> 
<li>Internship or project experience related to the above tech stack.</li> 
<li>Exposure to cloud platforms such as AWS, GCP, or Azure.</li> 
<li>Knowledge of observability tools (Prometheus, Grafana, ELK).</li> 
<li>Understanding of Agile methodologies.</li> 
</ul> 
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://signzy.keka.com/careers/jobdetails/83262?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"SQL, React, JavaScript",,20514
Associate Software Engineer,no,0,2,2.5,3.2,5/13/2025,"<h4 style=""color:red;"">Job Summary:</h4> 
<p>We are seeking enthusiastic and talented Software Engineering Freshers to join our dynamic team in Hyderabad. You will work closely with senior developers and project managers to design, develop, test, and maintain high-quality software applications.</p> 

<h4 style=""color:red;"">Key Responsibilities:</h4> 
<ul> 
<li>Assist in the development and maintenance of software applications.</li> 
<li>Write clean, efficient, and well-documented code.</li> 
<li>Participate in code reviews and debugging activities.</li> 
<li>Collaborate with team members to gather and analyze software requirements.</li> 
<li>Perform unit and integration testing.</li> 
<li>Stay updated with the latest trends and technologies in software development.</li> 
</ul> 

<h4 style=""color:red;"">Required Skills & Qualifications:</h4> 
<ul> 
<li>Strong programming skills in one or more languages such as Java, Python, C++, or JavaScript.</li> 
<li>Basic understanding of software development concepts (OOP, data structures, algorithms).</li> 
<li>Familiarity with web technologies (HTML, CSS, JavaScript) is a plus.</li> 
<li>Good analytical and problem-solving skills.</li> 
<li>Excellent communication and teamwork abilities.</li> 
<li>Eagerness to learn and grow in a fast-paced environment.</li> 
</ul> 
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"Java, Python, HTML, CSS, JavaScript",,20515
